gene_name	gene_type
Olfr1137	protein_coding
Olfr1138	protein_coding
Olfr1140	protein_coding
Olfr1139-ps1	unprocessed_pseudogene
Olfr1141	protein_coding
Olfr152	protein_coding
Olfr1142-ps1	unprocessed_pseudogene
Olfr1143	protein_coding
Olfr1144-ps1	unprocessed_pseudogene
Olfr1145	protein_coding
Olfr1146-ps1	unprocessed_pseudogene
Olfr1147-ps1	unprocessed_pseudogene
Olfr1148	protein_coding
Olfr1149-ps1	unprocessed_pseudogene
Olfr1150-ps1	protein_coding
Olfr1151	protein_coding
Olfr1152	protein_coding
Gm13745	processed_pseudogene
Olfr1153	protein_coding
Olfr1154	protein_coding
Olfr1155	protein_coding
Olfr1156	protein_coding
Olfr1157	protein_coding
Olfr74	protein_coding
Olfr1158	protein_coding
Olfr1159-ps1	unprocessed_pseudogene
Olfr1160	protein_coding
Olfr1161	protein_coding
Olfr73	protein_coding
Olfr1162	protein_coding
Olfr1163	protein_coding
Olfr1164	protein_coding
Olfr1165-ps	polymorphic_pseudogene
Olfr1166	protein_coding
Olfr1167	protein_coding
Olfr1168	protein_coding
Olfr1169-ps1	unprocessed_pseudogene
Olfr1170	protein_coding
Olfr1171-ps1	transcribed_unprocessed_pseudogene
Olfr1172-ps1	unprocessed_pseudogene
Olfr1173	protein_coding
Olfr1174	protein_coding
Olfr1175	protein_coding
Olfr1176	protein_coding
Olfr1177-ps	protein_coding
Olfr1178	protein_coding
Olfr1179	protein_coding
Olfr1180	protein_coding
Olfr1181	protein_coding
Olfr1182	protein_coding
Olfr1183	protein_coding
Olfr1184	protein_coding
Olfr1185-ps1	protein_coding
Olfr1186	protein_coding
Olfr1187-ps1	unprocessed_pseudogene
Olfr1188	protein_coding
Gm13758	processed_pseudogene
Olfr1189	protein_coding
Gm47581	unprocessed_pseudogene
Olfr475-ps1	polymorphic_pseudogene
Olfr1191-ps1	protein_coding
Olfr1192-ps1	protein_coding
Olfr1193	protein_coding
Olfr1195	protein_coding
Olfr1196	protein_coding
Olfr1197	protein_coding
Olfr1198	protein_coding
Olfr1199	protein_coding
Olfr1200	protein_coding
Olfr1201	protein_coding
Olfr1202	protein_coding
Olfr1205	protein_coding
Olfr1204	protein_coding
Olfr1206	protein_coding
Olfr1208	protein_coding
Olfr1209	protein_coding
Olfr1211	protein_coding
Olfr1212	protein_coding
Olfr1213	protein_coding
Olfr1214	protein_coding
Olfr1215	protein_coding
Olfr1216	protein_coding
Olfr1217	protein_coding
Olfr1218	protein_coding
Olfr1219	protein_coding
Olfr1220	protein_coding
Olfr1221	protein_coding
Olfr1222	protein_coding
Olfr1223	protein_coding
Olfr1224-ps1	protein_coding
Olfr1225	protein_coding
Gm13761	processed_pseudogene
Olfr1226	protein_coding
Gm5035	unprocessed_pseudogene
Gm18164	unprocessed_pseudogene
Gm18165	unprocessed_pseudogene
Gm18166	unprocessed_pseudogene
Olfr1227-ps1	unprocessed_pseudogene
Olfr1228	protein_coding
Olfr1229	protein_coding
Olfr1230	protein_coding
Olfr1231	protein_coding
Olfr1232	protein_coding
Olfr1233	protein_coding
Olfr1234	protein_coding
Olfr1235-ps1	unprocessed_pseudogene
AL929555.1	unprocessed_pseudogene
Olfr1238	protein_coding
Olfr1239	protein_coding
Olfr1240	protein_coding
Olfr1241	protein_coding
Olfr1242	protein_coding
Olfr1243	protein_coding
Olfr1244-ps1	unprocessed_pseudogene
Olfr1245	protein_coding
Olfr1246	protein_coding
Olfr1247	protein_coding
Olfr1248	protein_coding
Olfr1249	protein_coding
Olfr1250	protein_coding
Olfr1251	protein_coding
Olfr1252	protein_coding
Olfr1253	protein_coding
Olfr1254	protein_coding
Olfr1255	protein_coding
Olfr1256	protein_coding
Olfr48	protein_coding
Olfr1257	protein_coding
Olfr1258	protein_coding
Olfr1259	protein_coding
Olfr1260	protein_coding
Olfr1261	protein_coding
Olfr1262	protein_coding
Olfr1263	protein_coding
Olfr1264	protein_coding
Olfr1265	protein_coding
Olfr140	protein_coding
Olfr1266-ps1	unprocessed_pseudogene
Olfr1267-ps1	polymorphic_pseudogene
Olfr1268-ps1	polymorphic_pseudogene
Olfr1269	protein_coding
Olfr32	protein_coding
Olfr1270	protein_coding
Gm4222	processed_pseudogene
Gm13768	unprocessed_pseudogene
Olfr1506	protein_coding
Gm18953	unprocessed_pseudogene
Olfr142	protein_coding
Olfr1271	protein_coding
Olfr1272	protein_coding
Olfr1273-ps	polymorphic_pseudogene
Olfr1565	protein_coding
Gm13767	unprocessed_pseudogene
Olfr1274	protein_coding
Ptprj	protein_coding
4933423P22Rik	antisense
Nup160	protein_coding
Fnbp4	protein_coding
Rpl30-ps3	processed_pseudogene
Agbl2	protein_coding
Gm13772	processed_pseudogene
Mtch2	protein_coding
C1qtnf4	protein_coding
Gm32514	unitary_pseudogene
Ndufs3	protein_coding
Kbtbd4	protein_coding
Ptpmt1	protein_coding
Gm17661	pseudogene
Celf1	protein_coding
Gm13777	processed_pseudogene
Rapsn	protein_coding
Gm13778	processed_transcript
Psmc3	protein_coding
Slc39a13	protein_coding
Spi1	protein_coding
Mybpc3	protein_coding
Madd	protein_coding
Nr1h3	protein_coding
Gm13783	processed_transcript
Gm23390	snRNA
Acp2	protein_coding
Ddb2	protein_coding
Pacsin3	protein_coding
Arfgap2	protein_coding
1110051M20Rik	protein_coding
Gm13787	processed_pseudogene
Gm22071	miRNA
Lrp4	protein_coding
Gm13770	processed_pseudogene
Ckap5	protein_coding
Snord67	snoRNA
F2	protein_coding
Gm13771	processed_pseudogene
Zfp408	protein_coding
Arhgap1	protein_coding
Atg13	protein_coding
Harbi1	protein_coding
Gm13776	processed_pseudogene
Ambra1	protein_coding
Gm10805	pseudogene
Chrm4	protein_coding
Mdk	protein_coding
Dgkz	protein_coding
Mir6999	miRNA
Gm9821	antisense
Creb3l1	protein_coding
Gm13780	lincRNA
2900072N19Rik	lincRNA
Phf21a	protein_coding
Mir1955	miRNA
Gm13786	processed_pseudogene
Gm13785	processed_pseudogene
Large2	protein_coding
Pex16	protein_coding
1700029I15Rik	protein_coding
Mapk8ip1	protein_coding
Mir7000	miRNA
Cry2	protein_coding
D930015M05Rik	processed_transcript
Slc35c1	protein_coding
Gm13814	lincRNA
Gm13817	lincRNA
Gm13815	processed_pseudogene
Mir7221	miRNA
Mir7222	miRNA
Chst1	protein_coding
Gm13816	lincRNA
Gm13791	processed_transcript
Gm13792	processed_pseudogene
Syt13	protein_coding
Prdm11	protein_coding
4631405J19Rik	antisense
Gm13802	lincRNA
Trp53i11	protein_coding
Tspan18	protein_coding
Gm23380	rRNA
Gm13807	antisense
Cd82	protein_coding
Mir7001	miRNA
Gm10804	lincRNA
Alx4	protein_coding
Ext2	protein_coding
Gm13818	processed_pseudogene
Accs	protein_coding
Accsl	protein_coding
Gm1335	processed_pseudogene
Gm13889	protein_coding
Gm27027	protein_coding
Alkbh3os1	antisense
Alkbh3	protein_coding
Hsd17b12	protein_coding
Mir670hg	lincRNA
Gm23630	miRNA
Mir129-2	miRNA
Mir129b	miRNA
Mir670	miRNA
Ttc17	protein_coding
Itpa-ps1	processed_pseudogene
2810002D19Rik	processed_transcript
Api5	protein_coding
Gm44461	miRNA
Gm13788	processed_pseudogene
Gm24318	snoRNA
Gm13793	lincRNA
Gm26396	snoRNA
Gm13794	lincRNA
Gm13798	processed_pseudogene
Gm13797	processed_pseudogene
Gm13799	lincRNA
Gm37175	TEC
Gm13801	processed_pseudogene
Lrrc4c	protein_coding
4930445B16Rik	lincRNA
Gm17075	processed_pseudogene
Gm17076	processed_pseudogene
Gm22957	snoRNA
Gm22313	snoRNA
Gm23317	snoRNA
Gm44320	miRNA
Gm13803	processed_pseudogene
Gm13804	processed_pseudogene
Gm13806	processed_pseudogene
Gm10801	protein_coding
Gm10800	protein_coding
Gm29235	lincRNA
Gm13809	processed_pseudogene
Gm13808	processed_pseudogene
Gm13811	processed_pseudogene
Gm13813	processed_pseudogene
Gm13812	processed_pseudogene
Gm13810	processed_pseudogene
B230118H07Rik	protein_coding
Gm20693	processed_pseudogene
Rag2	protein_coding
Rag1	protein_coding
Traf6	protein_coding
Prr5l	protein_coding
Gm13905	lincRNA
Commd9	protein_coding
Ldlrad3	protein_coding
Gm13919	antisense
Gm13920	antisense
Gm13921	processed_pseudogene
Gm13866	processed_pseudogene
Trim44	protein_coding
Gm13868	processed_pseudogene
Fjx1	protein_coding
Pamr1	protein_coding
Slc1a2	protein_coding
Gm13872	antisense
Cd44	protein_coding
Gm23731	snRNA
Pdhx	protein_coding
Apip	protein_coding
Gm10038	pseudogene
Gm13874	lincRNA
Gm13869	lincRNA
Gm13873	processed_pseudogene
Ehf	protein_coding
A930006I01Rik	lincRNA
Gm37220	TEC
BC016548	lincRNA
Elf5	protein_coding
Cat	protein_coding
Gm13996	processed_pseudogene
Abtb2	protein_coding
Nat10	protein_coding
Caprin1	protein_coding
4930547E08Rik	processed_transcript
Gm13878	processed_pseudogene
Gm13880	processed_pseudogene
Gm13877	processed_pseudogene
Gm13875	processed_pseudogene
Gm22757	miRNA
Gm13879	processed_pseudogene
Gm22761	miRNA
Gm13876	processed_pseudogene
Gm13881	lincRNA
Lmo2	protein_coding
4931422A03Rik	protein_coding
Fbxo3	protein_coding
Gm24644	scaRNA
Gm10912	TEC
Gm10799	protein_coding
Cd59b	protein_coding
Cd59a	protein_coding
A930018P22Rik	protein_coding
D430041D05Rik	protein_coding
Gm22501	snoRNA
Gm13883	antisense
Gm25554	rRNA
Gm13882	processed_pseudogene
Hipk3	protein_coding
Mir1902	miRNA
Gm13870	processed_pseudogene
Gm13884	processed_pseudogene
Platr14	processed_transcript
Gm22439	snoRNA
Gm13885	processed_pseudogene
Cstf3	protein_coding
Tcp11l1	protein_coding
Pin1rt1	protein_coding
Depdc7	protein_coding
Qser1	protein_coding
Gm13886	processed_pseudogene
Prrg4	protein_coding
Ccdc73	protein_coding
Gm13887	processed_pseudogene
Eif3m	protein_coding
Gm13888	processed_pseudogene
Wt1os	antisense
Gm11060	protein_coding
Gm27715	misc_RNA
Gm27538	misc_RNA
Gm27636	misc_RNA
Gm27308	misc_RNA
Wt1	protein_coding
Them7	protein_coding
Rcn1	protein_coding
4930527A07Rik	lincRNA
Pax6os1	antisense
Gm13890	transcribed_processed_pseudogene
Rpl10-ps1	transcribed_processed_pseudogene
Paupar	lincRNA
Pax6	protein_coding
Elp4	protein_coding
Gm13954	antisense
Immp1l	protein_coding
Dnajc24	protein_coding
Gm22002	miRNA
n-R5s201	rRNA
Dcdc5	transcribed_unitary_pseudogene
Gm13992	processed_pseudogene
Gm29053	lincRNA
Gm14013	processed_pseudogene
Gm14015	lincRNA
Gm14014	lincRNA
BB218582	processed_transcript
Mpped2	protein_coding
Gm22813	scaRNA
Gm22813	scaRNA
Gm13901	processed_pseudogene
Gm13902	processed_pseudogene
Arl14ep	protein_coding
Gm13900	processed_pseudogene
Gm13904	processed_pseudogene
Fshb	protein_coding
Gm24885	ribozyme
Gm13903	unprocessed_pseudogene
Kcna4	protein_coding
Gm9864	pseudogene
Gm23439	snoRNA
Gm23749	snoRNA
Gm13912	lincRNA
Gm13916	processed_pseudogene
Gm13915	processed_pseudogene
Gm13913	processed_pseudogene
Gm13914	processed_pseudogene
Rpl35a-ps4	processed_pseudogene
Hadhb-ps	processed_pseudogene
Gm13923	lincRNA
Mettl15	protein_coding
Gm24115	miRNA
Kif18a	protein_coding
Gm13924	processed_pseudogene
Gm13925	unprocessed_pseudogene
Gm45346	antisense
Gm20638	processed_transcript
Bdnf	protein_coding
Gm13932	processed_pseudogene
Lin7c	protein_coding
Platr8	processed_transcript
Lgr4	protein_coding
Ccdc34	protein_coding
Ccdc34os	antisense
Gm13936	antisense
Gm13937	processed_pseudogene
Gm22997	snRNA
Bbox1	protein_coding
Fibin	protein_coding
Gm13935	processed_pseudogene
Gm10794	pseudogene
Slc5a12	protein_coding
Ano3	protein_coding
Muc15	protein_coding
Gm13942	lincRNA
Gm13941	protein_coding
Gm15130	protein_coding
A26c3	protein_coding
Gm13961	processed_pseudogene
Olfr1275	protein_coding
Gm13962	antisense
Olfr1276	protein_coding
Olfr1277	protein_coding
Olfr1278	protein_coding
Olfr1279	protein_coding
Olfr1280	protein_coding
Olfr1281	protein_coding
Olfr1282	protein_coding
Olfr1283	protein_coding
Olfr1284	protein_coding
Olfr1285	transcribed_unprocessed_pseudogene
Olfr1286	protein_coding
Olfr1287	protein_coding
Olfr1288	protein_coding
Olfr1289	protein_coding
Olfr1290	protein_coding
Olfr1291-ps1	protein_coding
Olfr1292-ps1	unprocessed_pseudogene
Olfr1293-ps	protein_coding
Gm44713	unprocessed_pseudogene
Olfr1294	protein_coding
Olfr1295	protein_coding
Olfr1296-ps1	unprocessed_pseudogene
Olfr1297	protein_coding
Olfr1298	protein_coding
Olfr1299	protein_coding
Gm44840	processed_transcript
Olfr1300-ps1	polymorphic_pseudogene
Gm13922	processed_pseudogene
Gm13930	processed_pseudogene
Olfr1301	protein_coding
Olfr1302	protein_coding
Olfr1303	protein_coding
Olfr1304-ps1	unprocessed_pseudogene
Gm26421	snoRNA
Olfr268-ps1	unprocessed_pseudogene
Olfr1305	protein_coding
Olfr1306	protein_coding
Gm13928	processed_pseudogene
Olfr1307	protein_coding
Olfr1308	protein_coding
Olfr1309	protein_coding
Gm13929	transcribed_processed_pseudogene
Olfr1310	protein_coding
Olfr1311	protein_coding
Olfr1312	protein_coding
Olfr1313	protein_coding
Olfr1314	protein_coding
Olfr1315-ps1	protein_coding
Olfr1316	protein_coding
Olfr1317	protein_coding
Olfr1318	protein_coding
Olfr1319-ps1	unprocessed_pseudogene
Lpcat4	protein_coding
Nutm1	protein_coding
Nop10	protein_coding
Slc12a6	protein_coding
Gm21985	protein_coding
Emc4	protein_coding
Katnbl1	protein_coding
Gm13940	processed_pseudogene
Emc7	protein_coding
n-R5s202	rRNA
Chrm5	protein_coding
Aven	protein_coding
Gm22676	snoRNA
Gm44374	miRNA
Ryr3	protein_coding
Tmco5b	protein_coding
Gm26505	snRNA
Fmn1	protein_coding
Gm13967	processed_pseudogene
Gm13963	antisense
Gm13966	antisense
Gm44465	miRNA
Gm13964	antisense
4930533B01Rik	antisense
Grem1	protein_coding
Scg5	protein_coding
Arhgap11a	protein_coding
Gm21596	processed_pseudogene
Gjd2	protein_coding
A530058N18Rik	processed_transcript
A530058N18Rik	processed_transcript
Actc1	protein_coding
C130080G10Rik	antisense
Aqr	protein_coding
Mir7002	miRNA
Zfp770	protein_coding
Gm25103	misc_RNA
Gm29234	lincRNA
Dph6	protein_coding
Gm13972	processed_transcript
Gm13975	processed_pseudogene
Gm13974	lincRNA
Gm28494	lincRNA
Gm28492	sense_intronic
Gm13973	processed_pseudogene
Gm28493	lincRNA
4930528P14Rik	lincRNA
Gm13976	lincRNA
3110099E03Rik	lincRNA
Gm13977	antisense
BC052040	protein_coding
Mir1951	miRNA
Meis2	protein_coding
2700033N17Rik	lincRNA
G630016G05Rik	lincRNA
2810405F15Rik	TEC
Gm13991	processed_pseudogene
Gm13990	antisense
Tmco5	protein_coding
D330050G23Rik	lincRNA
Gm24914	misc_RNA
Gm25514	snRNA
Gm29340	lincRNA
Gm13981	processed_pseudogene
Spred1	protein_coding
Mir674	miRNA
Rap1a-ps2	processed_pseudogene
Gm25189	snRNA
Fam98b	protein_coding
Rasgrp1	protein_coding
Gm13982	lincRNA
Gm28183	lincRNA
Gm13985	lincRNA
4930412B13Rik	lincRNA
Gm13986	processed_transcript
Gm36979	TEC
Gm25308	snRNA
Thbs1	protein_coding
Gm29233	lincRNA
Fsip1	protein_coding
Gm22800	miRNA
Gm29232	processed_transcript
A930104D05Rik	lincRNA
Gpr176	protein_coding
1700054M17Rik	antisense
Gm22651	rRNA
Eif2ak4	protein_coding
Srp14	protein_coding
Gm13983	processed_pseudogene
Bmf	protein_coding
Gm14016	processed_pseudogene
Bub1b	protein_coding
Pak6	protein_coding
Ankrd63	protein_coding
Plcb2	protein_coding
Inafm2	protein_coding
Ccdc9b	protein_coding
Phgr1	protein_coding
Disp2	protein_coding
Knstrn	protein_coding
Gm14091	antisense
Ivd	protein_coding
Bahd1	protein_coding
Chst14	protein_coding
Gm14089	antisense
Uqcrh-ps2	processed_pseudogene
Ccdc32	protein_coding
Rpusd2	protein_coding
Knl1	protein_coding
Rad51	protein_coding
Rmdn3	protein_coding
Gchfr	protein_coding
Dnajc17	protein_coding
Gm14137	protein_coding
Gm14138	processed_pseudogene
Zfyve19	protein_coding
Ppp1r14d	protein_coding
Spint1	protein_coding
Rhov	protein_coding
Gm14175	unprocessed_pseudogene
Vps18	protein_coding
Gm14207	processed_transcript
Dll4	protein_coding
Chac1	protein_coding
Ino80	protein_coding
Gm14208	processed_pseudogene
Exd1	protein_coding
Chp1	protein_coding
Oip5os1	lincRNA
Oip5	protein_coding
Nusap1	protein_coding
n-R5s204	rRNA
Ndufaf1	protein_coding
H3f3c	processed_pseudogene
Gm14383	processed_pseudogene
Rtf1	protein_coding
Gm25857	snoRNA
Itpka	protein_coding
Ltk	protein_coding
Rpap1	protein_coding
Gm23814	snRNA
Tyro3	protein_coding
Gm13998	processed_pseudogene
Mga	protein_coding
Mapkbp1	protein_coding
Mir7665	miRNA
Gm13999	antisense
Jmjd7	protein_coding
Gm28042	protein_coding
Pla2g4b	protein_coding
Sptbn5	protein_coding
Ehd4	protein_coding
Pla2g4e	protein_coding
Gm13997	processed_transcript
Pla2g4d	protein_coding
Pla2g4f	protein_coding
Vps39	protein_coding
Tmem87a	protein_coding
Ganc	protein_coding
AL935121.1	protein_coding
Capn3	protein_coding
Zfp106	protein_coding
Snap23	protein_coding
Lrrc57	protein_coding
Haus2	protein_coding
Stard9	protein_coding
n-R5s205	rRNA
Cdan1	protein_coding
Ttbk2	protein_coding
AV039307	processed_transcript
Ubr1	protein_coding
Tmem62	protein_coding
Gm44325	miRNA
Gm22865	snoRNA
Ccndbp1	protein_coding
Epb42	protein_coding
Tgm5	protein_coding
Gm14213	processed_pseudogene
Tgm7	protein_coding
Lcmt2	protein_coding
Gm23858	snRNA
Adal	protein_coding
Zscan29	protein_coding
Tubgcp4	protein_coding
Trp53bp1	protein_coding
Map1a	protein_coding
Gm14978	antisense
Ppip5k1	protein_coding
Ckmt1	protein_coding
Strc	protein_coding
Catsper2	protein_coding
Gm14001	processed_pseudogene
Gm14000	processed_pseudogene
Pdia3	protein_coding
Ell3	protein_coding
Serinc4	protein_coding
Serf2	protein_coding
Gm22953	miRNA
Hypk	protein_coding
Mfap1b	protein_coding
Gm14017	processed_pseudogene
Gm14018	unprocessed_pseudogene
Mfap1a	protein_coding
Wdr76	protein_coding
Frmd5	protein_coding
Gm14021	processed_pseudogene
Gm14020	processed_pseudogene
Gm14019	antisense
Casc4	protein_coding
Gm23983	rRNA
Mageb3	protein_coding
Ctdspl2	protein_coding
Eif3j1	protein_coding
Gm47314	miRNA
Spg11	protein_coding
Patl2	protein_coding
B2m	protein_coding
Trim69	protein_coding
Terb2	protein_coding
Gm14050	processed_pseudogene
Gm14058	processed_pseudogene
Rps12-ps10	processed_pseudogene
Sord	protein_coding
Duox2	protein_coding
Duoxa2	protein_coding
Duoxa1	protein_coding
Duox1	protein_coding
Shf	protein_coding
Gm24409	snRNA
Slc28a2	protein_coding
Gm14086	unprocessed_pseudogene
Bambi-ps1	processed_pseudogene
Slc28a2b	protein_coding
Gatm	protein_coding
Spata5l1	processed_transcript
AA467197	protein_coding
Mir147	miRNA
Slc30a4	protein_coding
4930417H01Rik	processed_transcript
Bloc1s6os	antisense
Bloc1s6	protein_coding
Sqor	protein_coding
Gm13988	processed_pseudogene
Sema6d	protein_coding
4930517E11Rik	lincRNA
4930583P06Rik	lincRNA
Gm13994	lincRNA
Slc24a5	protein_coding
Myef2	protein_coding
Gm22352	snRNA
Gm14004	processed_transcript
Ctxn2	protein_coding
Slc12a1	protein_coding
Gm14002	antisense
Dut	protein_coding
A530010F05Rik	antisense
Gm14003	lincRNA
Fbn1	protein_coding
Gm9913	antisense
Cep152	protein_coding
Shc4	protein_coding
Eid1	protein_coding
Secisbp2l	protein_coding
Cops2	protein_coding
Galk2	protein_coding
Fam227b	protein_coding
Fgf7	protein_coding
Gm26496	snRNA
Dtwd1	protein_coding
Gm17555	protein_coding
Gm24739	misc_RNA
Atp8b4	protein_coding
Slc27a2	protein_coding
Hdc	protein_coding
Gabpb1	protein_coding
Gm23753	snRNA
Gm27003	antisense
Usp8	protein_coding
Usp50	protein_coding
Gm10774	processed_pseudogene
Trpm7	protein_coding
Gm14212	processed_pseudogene
Sppl2a	protein_coding
Mir3473g	miRNA
Ap4e1	protein_coding
Gm24081	miRNA
Blvra	protein_coding
Ncaph	protein_coding
Itpripl1	protein_coding
1810024B03Rik	protein_coding
Snrnp200	protein_coding
Ciao1	protein_coding
Tmem127	protein_coding
Gm10766	TEC
Stard7	protein_coding
Dusp2	protein_coding
Astl	protein_coding
Adra2b	protein_coding
Gpat2	protein_coding
Fahd2a	protein_coding
Kcnip3	protein_coding
Gm22613	misc_RNA
AL731831.1	unprocessed_pseudogene
Prom2	protein_coding
Gm14229	processed_pseudogene
Zfp661	protein_coding
Mrps5	protein_coding
Mal	protein_coding
Gm22889	snoRNA
Gm14245	processed_pseudogene
Gm14244	antisense
Mall	protein_coding
Nphp1	protein_coding
Mtln	protein_coding
Bub1	protein_coding
Acoxl	protein_coding
Gm22411	miRNA
Gm23101	snRNA
Bcl2l11	protein_coding
Morrbid	lincRNA
Gm14009	lincRNA
Gm14010	lincRNA
Gm29010	lincRNA
Gm14006	processed_pseudogene
Gm14008	processed_pseudogene
Spdye4c	protein_coding
Gm39929	lincRNA
Gm14007	processed_pseudogene
Anapc1	protein_coding
Mertk	protein_coding
Gm14011	antisense
Gm23172	snoRNA
Tmem87b	protein_coding
Fbln7	protein_coding
Gm22859	miRNA
Zc3h8	protein_coding
Gm14028	processed_pseudogene
4933427J07Rik	antisense
Gm10762	antisense
Zc3h6	protein_coding
Gm14027	processed_transcript
Vinac1	protein_coding
Gm14022	processed_transcript
Ttl	protein_coding
Polr1b	protein_coding
Chchd5	protein_coding
AI847159	antisense
Gm14026	processed_pseudogene
Gm14029	antisense
Gm4430	TEC
Gm4430	TEC
Slc20a1	protein_coding
9830144P21Rik	processed_transcript
A730036I17Rik	lincRNA
Gm14024	antisense
Ckap2l	protein_coding
Gm14023	processed_transcript
Il1a	protein_coding
Gm25703	snRNA
Gm14039	processed_pseudogene
Il1b	protein_coding
Il1bos	antisense
Spcs2-ps	unprocessed_pseudogene
F830045P16Rik	protein_coding
Gm14040	sense_intronic
Gm14041	antisense
Sirpa	protein_coding
Pdyn	protein_coding
Gm14046	processed_pseudogene
Stk35	protein_coding
Gm28196	lincRNA
Tgm3	protein_coding
Mir6339	miRNA
Gm22424	snoRNA
Gm24665	snoRNA
AU015228	processed_pseudogene
Tgm6	protein_coding
Snrpb	protein_coding
Tmc2	protein_coding
Nop56	protein_coding
Snord110	snoRNA
Gm24451	snoRNA
Gm23187	snoRNA
Gm23650	snoRNA
Snord57	snoRNA
Idh3b	protein_coding
Ebf4	protein_coding
Gm14044	processed_pseudogene
Cpxm1	protein_coding
Gm14042	processed_pseudogene
Gm28372	protein_coding
1700020A23Rik	protein_coding
Tmem239	protein_coding
Pced1a	protein_coding
Vps16	protein_coding
Ptpra	protein_coding
9530056E24Rik	TEC
Gm23876	miRNA
4930473A02Rik	antisense
Mrps26	protein_coding
Oxt	protein_coding
Avp	protein_coding
Ubox5	protein_coding
Fastkd5	protein_coding
Lzts3	protein_coding
Ddrgk1	protein_coding
Itpa	protein_coding
Slc4a11	protein_coding
Gm24893	misc_RNA
4930402H24Rik	protein_coding
Gm14057	transcribed_processed_pseudogene
A730017L22Rik	processed_transcript
Gm14048	processed_pseudogene
Atrn	protein_coding
Gm14049	processed_pseudogene
Gfra4	protein_coding
Mir6973b	miRNA
Adam33	protein_coding
Siglec1	protein_coding
Hspa12b	protein_coding
Gm11037	protein_coding
1700037H04Rik	protein_coding
Gm14232	antisense
Spef1	protein_coding
Cenpb	protein_coding
Cdc25b	protein_coding
Ap5s1	protein_coding
Mavs	protein_coding
Pank2	protein_coding
Mir103-2	miRNA
Rnf24	protein_coding
Gm14233	processed_transcript
Snrpert	processed_pseudogene
Gm22902	ribozyme
Gm14283	processed_pseudogene
Gm14304	processed_pseudogene
Smox	protein_coding
Adra1d	protein_coding
Gm14285	antisense
Gm14280	antisense
5330413P13Rik	lincRNA
Gm14282	transcribed_processed_pseudogene
Gm14281	processed_pseudogene
Erv3	protein_coding
Lamr1-ps1	processed_pseudogene
Prnp	protein_coding
Prn	protein_coding
Prnd	protein_coding
Rassf2	protein_coding
Slc23a2	protein_coding
Gm14052	processed_pseudogene
Gm14051	antisense
Tmem230	protein_coding
Pcna	protein_coding
AV099323	antisense
Cds2	protein_coding
Prokr2	protein_coding
4921508D12Rik	lincRNA
Gm14095	lincRNA
1700026D11Rik	antisense
Gpcpd1	protein_coding
AU019990	lincRNA
Rpl23a-ps4	processed_pseudogene
Gm14099	processed_pseudogene
Gm14098	processed_pseudogene
Shld1	protein_coding
Gm14097	antisense
Gm22245	snRNA
Chgb	protein_coding
Trmt6	protein_coding
Mcm8	protein_coding
Gm14104	antisense
Crls1	protein_coding
Lrrn4	protein_coding
Fermt1	protein_coding
Gm14102	lincRNA
Gm14101	processed_pseudogene
Gm25704	snRNA
Gm14103	processed_pseudogene
Gm14094	processed_pseudogene
Gm27449	snRNA
A430048G15Rik	lincRNA
Gm14100	lincRNA
Bmp2	protein_coding
Mir3090	miRNA
Gm25258	snRNA
Hao1	protein_coding
Tmx4	protein_coding
Gm14037	processed_pseudogene
Gm14038	processed_pseudogene
Plcb1	protein_coding
Gm14036	processed_pseudogene
4930545L23Rik	antisense
9630028H03Rik	antisense
Platr3	lincRNA
Plcb4	protein_coding
Gm14209	sense_intronic
Gm14211	lincRNA
Gm14210	lincRNA
Gm26227	snRNA
Lamp5	protein_coding
Pak7	protein_coding
Gm14218	antisense
Gm14056	processed_pseudogene
Gm14054	processed_pseudogene
Ankef1	protein_coding
Gm36967	TEC
Snap25	protein_coding
Gm14053	processed_pseudogene
Mkks	protein_coding
AL731706.1	protein_coding
AL731706.2	protein_coding
Slx4ip	protein_coding
Jag1	protein_coding
Gm28214	lincRNA
Gm14055	lincRNA
Gm14064	lincRNA
Gm14062	lincRNA
Btbd3	protein_coding
Gm14061	lincRNA
Mir1952	miRNA
Gm14065	unprocessed_pseudogene
Gm14067	processed_pseudogene
Gm14069	unprocessed_pseudogene
Gm14066	processed_transcript
Gm14071	processed_pseudogene
Sptlc3	protein_coding
Gm27385	snRNA
Ism1	protein_coding
Tasp1	protein_coding
Gm14070	processed_pseudogene
Rps19-ps7	processed_pseudogene
Gm14073	processed_pseudogene
Esf1	protein_coding
Gm17374	protein_coding
Ndufaf5	protein_coding
Sel1l2	protein_coding
Macrod2	protein_coding
Gm23846	snRNA
Flrt3	protein_coding
Calr-ps	processed_pseudogene
Zcchc9-ps	processed_pseudogene
Macrod2os2	antisense
Macrod2os1	antisense
Gm25583	snRNA
Fau-ps1	processed_pseudogene
Gm23179	misc_RNA
Rpl26-ps5	processed_pseudogene
Rbmx2-ps	processed_pseudogene
Kif16b	protein_coding
Gm22310	snoRNA
Kif16bos	antisense
Snrpb2	protein_coding
Otor	protein_coding
Gm14083	processed_pseudogene
Gm14082	processed_pseudogene
Gm11644	processed_pseudogene
Gm11645	processed_pseudogene
Pcsk2os1	antisense
Pcsk2	protein_coding
Pcsk2os2	antisense
Bfsp1	protein_coding
Rps13-ps6	processed_pseudogene
Gm11673	processed_pseudogene
Gm11686	processed_pseudogene
Dstn	protein_coding
Rrbp1	protein_coding
